Source,Sector,Link,Search Keywords?,News/Media Link,words for scraping relevant links,Comments
McKinsey & Co Australia,Consultant,https://www.mckinsey.com/au/overview ,Y,https://www.mckinsey.com/search?q=work%20health%20and%20safety,www.mckinsey.com,
Earnst & Young Australia,Consultant,https://www.ey.com/en_au,Y,https://www.ey.com/en_au/search?q=work+health+and+safety,www.ey.com,
KPMG Australia,Consultant,https://kpmg.com/au/en/home.html,Y,https://kpmg.com/au/en/home/misc/search.html?sp_p=any&q=work%20health%20and%20safety&sort=_score&page=1&sp_c=9,kpmg.com,
PwC Australia,Consultant,https://www.pwc.com.au/,Y,https://www.pwc.com.au/search-results.html?searchfield=work+health+and+safety&pwcSiteSection=&pwcLang=en&pwcGeo=au,www.pwc.com.au,
Deloitte Australia,Consultant,https://www.deloitte.com/au/en.html,Y,https://www.deloitte.com/au/en/search-results.html?qr=work%20health%20and%20safety,www.deloitte.com,
Bureau of Health Information,Data,https://www.bhi.nsw.gov.au/BHI_reports/healthcare_quarterly/Jan-Mar2023,N,https://www.bhi.nsw.gov.au/media,media,
ACCI - Australian Chamber of Commerce and Industry,General Business association,https://www.australianchamber.com.au/,N,https://acci.com.au/news/,news,
AI - Australian Industry Group,General Business association,https://www.aigroup.com.au/?gclid=EAIaIQobChMIx7uXkKql-wIVDJ1LBR2NcQCaEAAYASAAEgKvaPD_BwE&gclsrc=aw.ds,N,https://www.aigroup.com.au/news/,news,
ISSA,Global,https://ww1.issa.int/,N,https://www.issa.int/news,news,
ILO,Global,https://www.ilo.org/global/lang--en/index.htm,N,https://www.ilo.org/global/about-the-ilo/newsroom/news/lang--en/index.htm,news,
WHO,Global,https://www.who.int/,N,https://www.who.int/news,news,
World Economic Forum,Global,https://www.weforum.org/topics/employment-and-skills,N,https://www.weforum.org/agenda/employment-and-skills/,agenda,
Trend atlas,Government,Trend Atlas,,,,no link
NHMRC,Government,https://www.nhmrc.gov.au/ ,N,https://www.nhmrc.gov.au/about-us/news-centre,news-centre,
AU Gov labour market,Government,https://labourmarketinsights.gov.au/,N, https://www.jobsandskills.gov.au/news,news,
FairWork,Government,https://www.fairwork.gov.au/employment-conditions/awards/list-of-awards ,N,,,the website is used to get list of awards
ARC,Government,https://www.arc.gov.au/,N,https://www.arc.gov.au/news-publications/media/media-releases,media-releases,
Comcare,Government,https://www.comcare.gov.au/safe-healthy-work/research-evidence/emerging-evidence-alerts ,N,https://www.comcare.gov.au/about/news-events/news,news,this RSS feeds includes news and safety alert https://www.comcare.gov.au/about/news-events/rss_feeds
Human Factors and Ergonomics Society of Australia,Industry Business association,https://www.ergonomics.org.au/,N,https://www.ergonomics.org.au/hfesa-news/,www.ergonomics.org.au,appended content link inside of some article
ACIF - Australian Construction Industry Forum,Industry Business association,https://www.acif.com.au/,N,https://www.acif.com.au/acif-news,acif-news,
ACCPA - Aged and Community Care Providers Association,Industry Business association,https://www.accpa.asn.au/,N,https://www.accpa.asn.au/media-releases/,media-releases,
ACA - Australian Constructors Association,Industry Business association,https://www.constructors.com.au/,N,https://www.constructors.com.au/category/aca-news/,www.constructors.com.au,
NSW Farmers Federation,Industry Business association,https://www.nswfarmers.org.au/,N,https://www.nswfarmers.org.au/NSWFA/NSWFA/Content/NewsEvents/News_Events.aspx?hkey=12dea0f0-7dc7-4122-a91e-75a95dc0ee9f,Media_Releases,
National Farmers Federation,Industry Business association,https://nff.org.au/,N,https://nff.org.au/media-centre/?_sft_category=media-release,media-release,
Heath Care Workers Australia,Industry Business association,https://healthcareworkersaustralia.com/,?,https://healthcareworkersaustralia.com/lessons-learnings/,healthcareworkersaustralia.com,
MBA - Masterbuilders Australia,Industry Business association,https://www.masterbuilders.com.au/Home,N,https://masterbuilders.com.au/newsroom/,masterbuilders.com.au,
MBA NSW,Industry Business association,https://www.mbansw.asn.au/,,https://www.mbansw.asn.au/work-health-and-safety,work-health-and-safety,"only the e-circulars related, but it's blocked due to subcription"
The Conversation,News outlet,https://theconversation.com/au/topics/work-health-and-safety-65677,Y,https://theconversation.com/au/topics/work-health-and-safety-65677,theconversation.com,
Work Cover Western Australia,Regulation,https://www.workcover.wa.gov.au/news/,N,https://www.workcover.wa.gov.au/news/,news,
Safe Work Australia,Regulation,https://www.safeworkaustralia.gov.au/,N,https://www.safeworkaustralia.gov.au/media-centre/news,news,
NIOSH,Regulation,https://www.cdc.gov/niosh/index.htm,Y,https://www.cdc.gov/niosh/newsroom/,www.cdc.gov,https://www.cdc.gov/niosh/newsroom/default.html
WorkSafe Queensland,Regulation,https://www.worksafe.qld.gov.au/,N,"https://www.worksafe.qld.gov.au/news-and-events/news
https://www.worksafe.qld.gov.au/news-and-events/alerts",news-and-events,
Work Safe Northern Territory,Regulation,https://worksafe.nt.gov.au/,N,"https://worksafe.nt.gov.au/forms-and-resources/news-and-events
https://worksafe.nt.gov.au/forms-and-resources/safety-alerts",news-and-events/safety-alerts,
Safe Work South Australia,Regulation,https://www.safework.sa.gov.au/,N,"https://www.safework.sa.gov.au/news-and-alerts/news
https://www.safework.sa.gov.au/news-and-alerts/safety-alerts",news-and-alerts,
HSE UK,Regulation,https://www.hse.gov.uk/,N,https://press.hse.gov.uk/,,
WorkSafe Victoria,Regulation,https://www.worksafe.vic.gov.au/,N,https://www.worksafe.vic.gov.au/,news,
Canadian Centre for OHS,Regulation,https://www.ccohs.ca/,N,https://www.ccohs.ca/newsroom/news_releases,news_releases,
Australia (Safework Australia data dashboard),Regulation,https://data.safeworkaustralia.gov.au/interactive-data ,,https://www.safeworkaustralia.gov.au/media-centre/news,news,
Singapore Ministry of Manpower WHS,Regulation,https://www.mom.gov.sg/workplace-safety-and-health,N,https://www.mom.gov.sg/workplace-safety-and-health,www.mom.gov.sg,
Japan,Regulation,https://www.mhlw.go.jp/english/,,,,
WorkSafe WA,Regulation,https://www.commerce.wa.gov.au/worksafe/,,https://www.commerce.wa.gov.au/announcements?field_announcement_division_tid=65,announcements,
