,Title,Authors,Text,Summary,published_date,Source
0,NSCA Foundation,Asset Media,"New data has revealed that complaints of workplace sexual harassment and discrimination continue to be a concern, with over 800 workers seeking help and 1153 seeking the advice and representation services provided by Legal Aid NSW’s Respect at Work Legal Service (RAWLS) since January 2023. Of those services provided by RAWLS, 71% were for female clients, with the most common complaint being disability discrimination (27%), followed by sexual harassment (20%) and sex discrimination (14%).

The figures come amid increased awareness of sexual harassment because of the #MeToo movement and ongoing efforts to address the issue, including the introduction of a “positive duty” on employers to act to prevent sexual harassment and sex discrimination.

RAWLS solicitor Fiona Pace said that while it is positive that people are getting legal help, the fact that women are still experiencing workplace sex-based discrimination and harassment is a cause for concern. Pace added that the service continues to see women experiencing unwelcome sexual behaviours in the workplace, including assaults and inappropriate comments.

“Sex-based discrimination based on pregnancy or family responsibilities are also common issues we see, with some complaining of losing their job on this basis. The harmful impact of these experiences cannot be overstated. We see clients who experience financial loss from being demoted, losing shifts or their job, or being victimised for complaining. People are also dealing with the mental health impacts and stress,” Pace said.

RAWLS, a free state-side legal service offered by Legal Aid NSW, was established in 2023 to support people experiencing workplace sexual harassment and discrimination. It followed the Respect@Work report, which found that a third of workers, and two in five women, have experienced sexual harassment. Pace said that of the advice provided by RAWLS, 6% was related to racial discrimination. “We know racial discrimination is widespread with 16% of Australians experiencing it, so we really encourage more people to seek help,” Pace said.

The highest number of complaints came from the healthcare and social assistance sector, followed by the professional, scientific and technical sector and accommodation and food services. According to Pace, certain groups like newly arrived migrants, farm workers, young people, Aboriginal people and those from CALD communities are more likely to be affected by discrimination and harassment but are less likely to seek help. “We really encourage people to come forward so we can find the right solution for them to help protect their job and resolve things early on before they escalate,” Pace said.

RAWLS works with other organisations to support clients, including with trauma-informed referral pathways to partner organisations that can provide specialist non-legal support. Legal Aid NSW CEO Monique Hitter said ensuring people can understand and defend their rights in the workplace is essential to address workplace discrimination.

“We know from the Respect@Work report that ensuring people have access to free legal help early on is part of addressing the prevalence of workplace discrimination and sexual harassment. RAWLS has achieved great outcomes for clients. Many workplace complaints have been resolved with clients receiving compensation, apologies from employers and changes to policies or training for staff,” Hitter said.

People can contact RAWLS on (02) 9072 2333 or email: respectatwork@legalaid.nsw.gov.au.

Image credit: iStock.com/kali9","The figures come amid increased awareness of sexual harassment because of the #MeToo movement and ongoing efforts to address the issue, including the introduction of a “positive duty” on employers to act to prevent sexual harassment and sex discrimination.
RAWLS, a free state-side legal service offered by Legal Aid NSW, was established in 2023 to support people experiencing workplace sexual harassment and discrimination.
It followed the Respect@Work report, which found that a third of workers, and two in five women, have experienced sexual harassment.
“We know racial discrimination is widespread with 16% of Australians experiencing it, so we really encourage more people to seek help,” Pace said.
Legal Aid NSW CEO Monique Hitter said ensuring people can understand and defend their rights in the workplace is essential to address workplace discrimination.",,https://www.nscafoundation.org.au/news
1,NSCA Foundation,Asset Media,"Safe Work Australia has published a Psychological Health and Safety in the Workplace report, highlighting the changing impact of work-related psychological injuries in Australia. The report revealed that during 2021–22, mental health conditions accounted for 9% of all serious workers compensation claims, marking a 36.9% increase since 2017–18. The median time lost was more than four times greater than that of all physical injuries and illnesses (2020–21). The median compensation paid for mental health conditions was more than three times greater than that of all physical injuries and illnesses. The report also found that workers with claims for mental health conditions experienced poorer return to work outcomes and were more likely to experience stigma from colleagues and their employers.

Marie Boland, Chief Executive Officer of Safe Work Australia, said the report aims to increase the understanding of the impact of psychosocial hazards at work by providing insights that can help governments, researchers, industry and worker representatives address current and future challenges in psychological health and safety.

“Proactively managing psychosocial hazards at work not only protects workers, it also benefits businesses by improving organisational performance and productivity. Under model work health and safety laws, psychosocial hazards and risks are treated the same as physical hazards and risks,” Boland said.

The data for the report was drawn from Safe Work Australia’s National Dataset for Compensation-based Statistics, the National Return to Work Survey and the People at Work risk assessment survey. Boland said that the report illustrates the importance of Safe Work Australia’s work to support workplaces to understand and meet their work health and safety duties in relation to psychosocial hazards.

Image credit: iStock.com/DSCimage","Safe Work Australia has published a Psychological Health and Safety in the Workplace report, highlighting the changing impact of work-related psychological injuries in Australia.
“Proactively managing psychosocial hazards at work not only protects workers, it also benefits businesses by improving organisational performance and productivity.
Under model work health and safety laws, psychosocial hazards and risks are treated the same as physical hazards and risks,” Boland said.
The data for the report was drawn from Safe Work Australia’s National Dataset for Compensation-based Statistics, the National Return to Work Survey and the People at Work risk assessment survey.
Boland said that the report illustrates the importance of Safe Work Australia’s work to support workplaces to understand and meet their work health and safety duties in relation to psychosocial hazards.",,https://www.nscafoundation.org.au/news
2,NSCA Foundation,Asset Media,"In the first ‘normal’ year post-COVID, Australians are reportedly feeling less connected, valued and included at work; however, organisations focused on diversity and inclusion are bucking the trend, according to a report released by Diversity Council Australia (DCA). The 2023–2024 Inclusion@Work Index captured the state of inclusion and diversity in post-pandemic Australia, drawing comparisons with previous releases in 2021–2022 (during the pandemic) and 2019–2020 (pre-pandemic).

While discrimination, harassment and other forms of workplace exclusion eased off for many workers during the pandemic, data from the 2023–2024 Index shows these trends reversing in post-pandemic workplaces. The data shows that 19% of Australian workers don’t feel valued, respected or able to contribute and progress at work in 2023, a figure that has nearly doubled since 2019.

More workers also feel their manager does not behave in an inclusive way, with 27% reporting their managers did not value differences, treat everyone fairly or deal with inappropriate behaviour — a 9% increase from 2021 (18%) and up 6% from 2019 (21%). Discrimination and harassment are also on the rise, with 30% of workers experiencing discrimination and/or harassment at work in 2023 — up by 8% from 2021 (22%) and 4% higher than the pre-pandemic figure of 26% in 2019.

The report found that D&I active organisations are bucking this trend. Workers who indicated that their organisation is taking action to create a more diverse and inclusive workplace are twice as likely to belong to an inclusive team and have an inclusive manager, and nearly twice as likely to report their work has a positive effect on their mental health. They are also twice as likely to provide excellent customer service, collaborate effectively, solve problems in an innovative way and work extra hard.

DCA CEO Lisa Annese said that although many behave as though the global pandemic is behind us, Australians are still recovering from the shared trauma of the past few years, with workplaces adjusting to the latest ‘new normal’ and grappling with questions around flexible working, AI technology, inflationary pressures and growing skills shortages.

“Meanwhile, employees are still processing the trauma and disruption of the past few years, fuelling a growing disillusionment with traditional working arrangements. With all this in mind, it is unsurprising that DCA’s 2023–2024 Inclusion@Work Index finds workers feeling less connected, valued and included post-pandemic. In a time of so much disruption and division, a focus on diversity and inclusion is more important than ever. This report addresses the unique problems of the post-pandemic workforce and lays out a case for D&I action as a proven solution,” Annese said.

Image credit: iStock.com/interstid","The 2023–2024 Inclusion@Work Index captured the state of inclusion and diversity in post-pandemic Australia, drawing comparisons with previous releases in 2021–2022 (during the pandemic) and 2019–2020 (pre-pandemic).
They are also twice as likely to provide excellent customer service, collaborate effectively, solve problems in an innovative way and work extra hard.
With all this in mind, it is unsurprising that DCA’s 2023–2024 Inclusion@Work Index finds workers feeling less connected, valued and included post-pandemic.
In a time of so much disruption and division, a focus on diversity and inclusion is more important than ever.
This report addresses the unique problems of the post-pandemic workforce and lays out a case for D&I action as a proven solution,” Annese said.",,https://www.nscafoundation.org.au/news
3,NSCA Foundation,Asset Media,"The NSW Government has proposed tougher penalties for employers responsible for industrial manslaughter, including $18 million in fines and lengthy prison sentences. In 2023, the NSW Government announced that it would introduce an industrial manslaughter offence.

The proposed measures are detailed in a consultation paper as the government invites feedback on how to best introduce the new laws and which elements will make up the offence. Industrial manslaughter laws will allow for a business or individual to be held responsible for the death of a person due to negligent or reckless behaviour in the workplace.

The feedback from the survey will be used to inform the government on key elements to include within the NSW Work Health and Safety Act and other relevant considerations for introducing an industrial manslaughter offence in NSW. The paper, developed by SafeWork NSW, provides an overview of what industrial manslaughter is and outlines the offences and penalties that have been implemented in other Australian jurisdictions. NSW is the last mainland state without an industrial manslaughter offence.

Members of the community, including work health and safety experts, business groups, unions, legal stakeholders and families of people who have been killed at work are all encouraged to provide submissions to the consultation paper.

Minister for Work Health and Safety Sophie Cotsis said it is important that the views of members of the community, including businesses, industry, representative bodies and workers, are considered before introducing industrial manslaughter laws. “We never want to have to use these laws. Any workplace death is a tragedy and in cases where a person with a duty of care has been careless or irresponsible, they must be held accountable,” Cotsis said.

To have your say, visit the Have Your Say website.

Image credit: iStock.com/domoyega","The NSW Government has proposed tougher penalties for employers responsible for industrial manslaughter, including $18 million in fines and lengthy prison sentences.
In 2023, the NSW Government announced that it would introduce an industrial manslaughter offence.
Industrial manslaughter laws will allow for a business or individual to be held responsible for the death of a person due to negligent or reckless behaviour in the workplace.
The paper, developed by SafeWork NSW, provides an overview of what industrial manslaughter is and outlines the offences and penalties that have been implemented in other Australian jurisdictions.
NSW is the last mainland state without an industrial manslaughter offence.",,https://www.nscafoundation.org.au/news
4,NSCA Foundation,Asset Media,"A new report from Building Commission NSW has made key recommendations to help boost the number of women working in construction across NSW. The Building Commission NSW Women in Construction Report provides recommendations to increase female participation in the industry and address some of the systemic challenges they face in their careers.

The recommendations provide a roadmap to help address the barriers to attracting and retaining women, addressing negative perceptions, raising business and HR knowledge, and improving workplace culture in the construction industry.

With more than 100,000 construction workers needed to meet the demand for housing supply in NSW, the report highlights the issues that must be addressed to meet productivity aims. Small to medium construction businesses reportedly account for 80% of the industry and employ less than 5% of women, while 35% of these businesses employ no women at all.

The report reveals that 71% of women employed in these businesses have experienced discrimination, with one in two women experiencing sexual harassment. Some small business employers are also reluctant to hire women due to fears of being held legally responsible for any inappropriate behaviour by male employees in the workplace.

The report also found that 42% of male employers perceive the physical demands of the work as too high for women, compared to 13% of female employers. More than 1700 people across NSW participated in the research, representing a cross-section of the community including men, women, students and the general public.

The research report and key findings are available here.

Image credit: iStock.com/FatCamera","A new report from Building Commission NSW has made key recommendations to help boost the number of women working in construction across NSW.
The Building Commission NSW Women in Construction Report provides recommendations to increase female participation in the industry and address some of the systemic challenges they face in their careers.
Small to medium construction businesses reportedly account for 80% of the industry and employ less than 5% of women, while 35% of these businesses employ no women at all.
The report reveals that 71% of women employed in these businesses have experienced discrimination, with one in two women experiencing sexual harassment.
The research report and key findings are available here.",,https://www.nscafoundation.org.au/news
5,NSCA Foundation,Asset Media,"The Australian Council of Trade Unions (ACTU) has revealed that new safety legislation to help improve the safety standards for offshore oil and gas workers has been introduced to parliament. The offshore oil and gas sector involves workers undertaking dangerous tasks in remote and isolated areas. The sector presents significant physical and psychological hazards for workers. To address these issues, the Offshore Petroleum and Greenhouse Gas Storage Legislation Amendment (Safety and Other Measures) Bill 2024 aims to provide stronger protections for offshore oil and gas workers.

The new safety legislation aims to strengthen the role and training of health and safety representatives (HSRs). It also allows HSRs to request a review of safety management documents. The new legislation also aims to improve worker protection against discrimination and coercion, strengthen the mental health protections for workers, improve health and safety rules for diving operations and dive vessels, and simplify the reporting requirements for serious injury notifications.

The government has also announced that it will carry out a review to identify opportunities to harmonise the offshore petroleum safety regime with national work health and safety laws. ACTU Assistant Secretary Liam O’Brien said he welcomed the federal government’s ongoing commitment to improving work health and safety.

“Health and safety representatives play an important role in keeping workplaces safe. Strengthening their role, along with enhancing the protections against discrimination, is vital if safety is going to improve. We also welcome the government’s ambition to harmonise offshore petroleum safety with our national laws. Workers in Commonwealth waters shouldn’t have less protection than those on land. Every worker has a right to safe and healthy work,” O’Brien said.

Image credit: iStock.com/Iam Anupong","The Australian Council of Trade Unions (ACTU) has revealed that new safety legislation to help improve the safety standards for offshore oil and gas workers has been introduced to parliament.
The offshore oil and gas sector involves workers undertaking dangerous tasks in remote and isolated areas.
The new safety legislation aims to strengthen the role and training of health and safety representatives (HSRs).
The government has also announced that it will carry out a review to identify opportunities to harmonise the offshore petroleum safety regime with national work health and safety laws.
ACTU Assistant Secretary Liam O’Brien said he welcomed the federal government’s ongoing commitment to improving work health and safety.",,https://www.nscafoundation.org.au/news
6,NSCA Foundation,Asset Media,"The NSW Government has established an Asbestos Taskforce to give more resources and support to the state’s Environment Protection Authority’s (EPA) investigation into the asbestos contamination that was detected in mulch used across various locations in Sydney. The discovery of asbestos contamination earlier this month prompted immediate action from local councils, the EPA and the Department of Education.

Led by Carolyn Walsh, the current Chair of the NSW Asbestos Coordination Committee, the taskforce will also include senior representatives of several NSW Government agencies, as well as local government. The Premier and Minister for the Environment have also activated a surge workforce to assist the EPA, as the scale of the investigation continues to grow. Additional staff from the Natural Resources Access Regulator and NSW Fire and Rescue will also be deployed to the EPA to increase capacity, along with the EPA’s expanded workforce on the investigation.

The taskforce will help coordinate government agencies and help prioritise sites considered to be of highest risk to the public, to ensure all resources are available to secure and remediate sites. It will also support the EPA to ensure the environmental risks to public land are appropriately managed, as the EPA conducts its criminal investigation into any breaches of the law. The NSW Government is also considering regulatory changes to strengthen penalties and deterrence. Minister for the Environment Penny Sharpe said the government’s main priority is to finish contact tracing the supply chain, so that any potential receiver of the mulch is identified — this will enable the taskforce to take immediate action to make the area safe.

“This is the largest investigation the Environment Protection Authority has undertaken in recent decades. The complex, criminal investigation involves multiple lines of enquiry. The surge workforce means we can get to the bottom of the supply chain much faster,” Sharpe said.

Clare Collins, Chair of the Asbestos Education Committee, has urged the public not to panic but to avoid mulched areas until sites have been inspected and cleared of possible asbestos contamination. Collins also encouraged the public to contact their local council immediately if they observe what they suspect to be pieces of bonded asbestos in a public place. “According to reports, the bonded or non-friable asbestos identified in mulch are pieces of broken asbestos-cement sheeting known as fibro, which most likely came from building demolition sites. However, how this occurred on such a significant scale at so many sites, is the real question to be explored,” Collins said.

While there is a lot of community concern and confusion surrounding the discovery of bonded asbestos, the NSW Government has assured the public that it will continue to carry out “contact tracing” down the complex supply chain, then facilitate testing, reporting and management of any positive results. SafeWork NSW, NSW Health and the Public Works Advisory will also provide support.

“There’s a lot of community concern and confusion surrounding these bonded asbestos finds in 23 public locations (to date) because people are unsure of how dangerous non-friable asbestos pieces are, what the materials might look like, what the risks to health are and what to do if they come across it. Fibro debris is usually a light grey or a dirty colour (especially when mixed with soil or leaf matter) — it resembles flat broken cement with the tell-tale golf ball-like dimpling on one side, and will often have jagged edges where it has been broken and may have old paint on the non-dimpled side,” Collins said.

Collins also warned homeowners that asbestos debris could be closer to home than they might think, as it is not uncommon to find fibro debris left over from the original build or renovations at residential properties built before 1990 including brick, weatherboard, fibro or clad homes. It can also be found in garden beds, loose under homes and under concrete paths.

According to the Asbestos Education Committee, fibro was the most common non-friable asbestos-containing building material produced before a complete asbestos ban was enacted in Australia in December 2003. Non-friable asbestos cannot be crumbled, pulverised or reduced to a powder by hand pressure when dry; it is considered low-risk when undisturbed, sealed, wet or damp.

However, while the asbestos identified in mulch in a majority of locations has been determined to be non-friable, Collins said it is “extremely concerning” that friable asbestos was identified in a Surry Hills park frequented by locals. Friable asbestos can be extremely dangerous; it can be crumbled, pulverised or reduced to a powder by hand pressure. If its fibres become airborne and inhaled, it poses significant health risks. Non-friable asbestos can also become friable if damaged, demolished or exposed to the elements in unsealed fibre sheeting and is also common to aged, brittle corrugated asbestos-cement roofing.

An update from the EPA, released on 20 February 2024, revealed that the investigation into asbestos-contaminated mulch returned six positive results and more than 100 negative results in the past day. There are now a total of 47 positive sites, with 796 tests returning negative results since 10 January.

The City of Sydney Council reported one sample of friable asbestos and several samples for bonded asbestos in mulch at Bicentennial Park 1, Glebe, which is part of the Glebe foreshore area. The EPA is awaiting further details from those test results, but the council has fenced off the affected area of the parklands. Five other sites returned positive results for bonded asbestos, including North Rosebery Park, Rosebery (site is secured); a private aged care facility in St Ives (site is being secured); an industrial area in Rouse Hill (site is being secured); a private property (not publicly accessible); and Mary Mackillop Catholic Parish, Oran Park (site is secured).

Mary Mackillop Catholic Parish is in close proximity to St Justin’s Catholic Parish Primary School and St Benedict’s Catholic College in Oran Park; while mulch has only been identified on Parish property, precautionary testing will be conducted at both schools. Precautionary testing will also be conducted at four hospitals, including Westmead Hospital, Sydney Children’s Hospital, Hornsby Ku-ring-gai Hospital and Nepean Hospital, as well as two ambulance stations in Tumut and Woy Woy. Impacted areas at these sites will be cordoned off.

The EPA has also assured households that only a small number of residential properties have tested positive to bonded asbestos in mulch. The EPA is also providing a licensed asbestos assessor and, if necessary, a contractor to remove the mulch.

Greens MP and spokesperson for the Environment Sue Higginson called for an “urgent and at scale” mobilisation of resources, led by the NSW Government, to discover how many mulch businesses have been distributing asbestos to schools, hospitals and playgrounds.

“We knew two weeks ago that the asbestos at the Rozelle Parklands was just the tip of the iceberg and that more contamination discoveries were inevitable. The Environment Protection Authority is responding as best they can, but the sheer scale of this issue cannot be overstated. Around 13% of mulch tested by the EPA over the last 2 weeks has returned positive results for asbestos. This is unacceptably high and we don’t even know how many mulch providers may be dealing with contaminated materials, let alone where else asbestos will turn up in the coming weeks and months,” Higginson said.

Higginson also called for a moratorium on the movement of materials that may be contaminated, to prevent more asbestos from being distributed while the EPA is chasing down leads. “The former government ignored these issues when they were first raised, they prioritised corporate interests over community and environmental safety. NSW needs to urgently start tracing potentially contaminated materials and consider how we solve this issue. Investment in a circular economy that is informed by human and environmental safety and backed up with rigorous liability and enforcement is the only way we can tackle this issue,” Higginson said.

By Ashna Mehta

Image credit: iStock.com/Daria Nipot","Led by Carolyn Walsh, the current Chair of the NSW Asbestos Coordination Committee, the taskforce will also include senior representatives of several NSW Government agencies, as well as local government.
SafeWork NSW, NSW Health and the Public Works Advisory will also provide support.
Non-friable asbestos cannot be crumbled, pulverised or reduced to a powder by hand pressure when dry; it is considered low-risk when undisturbed, sealed, wet or damp.
Non-friable asbestos can also become friable if damaged, demolished or exposed to the elements in unsealed fibre sheeting and is also common to aged, brittle corrugated asbestos-cement roofing.
There are now a total of 47 positive sites, with 796 tests returning negative results since 10 January.",,https://www.nscafoundation.org.au/news
7,NSCA Foundation,Asset Media,"SafeWork NSW has issued almost $1 million in fines at the halfway point of its ‘Working at Heights in Construction’ campaign. The safety blitz was implemented after a concerning rise in the number of serious injuries and deaths attributed to falls from heights, with 17 people killed between 2018 and 2022.

As part of the safety blitz, inspectors from SafeWork NSW visited commercial and residential sites across the state, as well as conducting high-visibility checks in manufacturing and warehouse industries. They also conducted inspections in the transport industries in the lead-up to Christmas. Since May 2023, the inspectors have visited 1218 worksites resulting in 1499 Improvement Notices, 727 Prohibition Notices and 352 Penalty Notices, amounting to $972,000.

During these inspections, the inspectors determined that approximately 65% of the industry is using the highest form of safety measure as its first choice, including the use of fall prevention devices such as roof guardrails and scaffolding, rather than fall arrest systems such as harnesses.

The campaign will continue in 2024, commencing with a blitz on the safe installation of rooftop solar panels in February. Contractors and builders are obligated to protect workers by identifying height risks and taking steps to control these hazards as far as is reasonably practicable by implementing higher order controls.

Trent Curtin, Head of SafeWork NSW, said that while it is encouraging that 65% of the industry is using the highest form of safety measure, it means that 35% is not, and this needs to change.

“As we pass the halfway point of SafeWork’s ‘Working at Heights in Construction’ compliance blitz, it is important to note that falls from heights is still the number one cause of traumatic fatalities on NSW construction sites. During one worksite blitz, a SafeWork inspector noted a worker who was not connected to a harness system while working on a roof. When questioned as to why they were not connected, the worker reasoned that they had been roofing for 30 years without an incident. Attitudes like this will eventually result in a workplace accident or death. This is simply unacceptable. SafeWork inspectors will not hesitate to stop work onsite, issue fines and consider prosecution against businesses and individuals disregarding the rules,” Curtin said.

Workers who are concerned about workplace health and safety can anonymously contact SafeWork on 13 10 50 or through the ‘Speak Up Save Lives’ app. For more information about working from heights, visit the SafeWork NSW website.

Image credit: iStock.com/milanvirijevic","SafeWork NSW has issued almost $1 million in fines at the halfway point of its ‘Working at Heights in Construction’ campaign.
The safety blitz was implemented after a concerning rise in the number of serious injuries and deaths attributed to falls from heights, with 17 people killed between 2018 and 2022.
As part of the safety blitz, inspectors from SafeWork NSW visited commercial and residential sites across the state, as well as conducting high-visibility checks in manufacturing and warehouse industries.
SafeWork inspectors will not hesitate to stop work onsite, issue fines and consider prosecution against businesses and individuals disregarding the rules,” Curtin said.
For more information about working from heights, visit the SafeWork NSW website.",,https://www.nscafoundation.org.au/news
8,NSCA Foundation,Asset Media,"Researchers from the University of Technology Sydney (UTS) have shown that air conditioning in the workplace can help trap particles from bushfire smoke and reduce exposure to potentially harmful elements like soluble mercury, sulfate and nitrate. Bushfire smoke can cause or exacerbate health conditions like asthma, chronic obstructive pulmonary disease (COPD) and heart disease. The study, published in the journal Environmental Pollution, was led by UTS PhD candidate Raissa Gill.

“The bushfires that raged across Australia during the 2019–2020 ‘Black Summer’ produced an enormous amount of air pollution, with plumes of smoke travelling long distances and cloaking Sydney and surrounding areas,” Gill said.

The researchers used commercial air conditioning filters to capture and analyse the chemical composition of particles that would otherwise be inhaled. The researchers collected particulate matter from heating, ventilation and air-conditioning (HVAC) filters in UTS Buildings 4 and 7 during the peak of the Black Summer bushfires as well as one year later as a reference point. Research findings revealed that daily particulate matter concentrations were two to three times higher than normal, with hourly concentrations reaching up to 10.5 times the usual maximum. This exceeded the national standards on 19% of days across the four-month sampling window. The particles were also finer and contained a mixture of toxic chemicals.

Co-author and UTS Professor Martina Doblin said the bushfire aerosols contained smaller, rounder particles than urban aerosols. These are more likely to be inhaled into lungs and to transfer toxic elements into our bloodstream. “These particles also contained more soluble forms of mercury, as well as higher concentrations of sulfate, nitrate and fluoride ions and metals including manganese, cobalt and antimony. Mercury is quite toxic even in low concentrations and can cause neurological problems and lung damage,” Doblin said.

The study also found that bushfire events exert a range of chemical changes to the atmosphere; understanding these changes can help assess the impact of bushfires and their potential consequences for human health and environmental quality. While HVAC systems are not designed specifically for bushfire smoke, research on indoor air quality in Canberra during the 2019–2020 bushfires showed that outdoor concentrations of fine particulate matter were up to 10 times higher than measured values indoors with air conditioning.

The UTS HVAC filters captured a significant portion of bushfire smoke, reducing exposure to toxic particles for staff and students working in these buildings. The research also highlighted the importance of considering higher-rated HVAC filters during fire seasons and maintaining and replacing the filters regularly.

“Given that severe bushfires are projected to increase with climate change, the role of bushfire-ready infrastructure in maintaining public health, as well as the need to reduce greenhouse gas emissions, is now more pressing than ever,” Gill said.

Image credit: iStock.com/DoraDalton","Bushfire smoke can cause or exacerbate health conditions like asthma, chronic obstructive pulmonary disease (COPD) and heart disease.
The researchers used commercial air conditioning filters to capture and analyse the chemical composition of particles that would otherwise be inhaled.
Mercury is quite toxic even in low concentrations and can cause neurological problems and lung damage,” Doblin said.
The UTS HVAC filters captured a significant portion of bushfire smoke, reducing exposure to toxic particles for staff and students working in these buildings.
The research also highlighted the importance of considering higher-rated HVAC filters during fire seasons and maintaining and replacing the filters regularly.",,https://www.nscafoundation.org.au/news
9,NSCA Foundation,Asset Media,"Workplaces across the Northern Territory have been urged to ensure that their workers are protected from melioidosis. On 23 January 2024, a worker at a Darwin landscaping company was reportedly diagnosed with melioidosis after attending hospital due to persistent back pain. Initial investigations found that the worker was completing gardening work days before being diagnosed. However, due to the delay in symptoms, the exact location where the worker may have contracted melioidosis cannot be determined. The worker has since commenced medical treatment, which includes ongoing intravenous antibiotics.

Melioidosis is a disease caused by bacteria called Burkholderia pseudomallei, commonly found in tropical soils and water. In the Northern Territory, melioidosis usually occurs during the wet season (October to April), when heavy rainfall can bring the bacteria into surface water and soil. The bacteria can cause infection when it enters a person’s body through skin cuts and sores or through the inhalation of dust or droplets. Workers exposed to environments where the bacteria may be present are at risk of contracting melioidosis, which can be fatal if not treated immediately.

NT WorkSafe has urged all workplaces with workers working outdoors, especially during the wet season, to implement a range of measures to protect their workers. Workplaces are urged to carry out hazard identification, risk assessment and control (HIRAC) before starting any job in a work environment that can potentially be contaminated by bacteria causing melioidosis. Employers should also consider the available control measures and implement them to eliminate or minimise the risk of contracting the disease.

Control measures can include the provision of personal protective equipment (PPE) such as glasses, respirators, gloves and appropriate footwear for workers, along with the provision of adequate washing facilities. Employers must also ensure that workers adopt personal hygiene practices such as washing their hands thoroughly before and after eating, drinking, smoking and performing their job. Workers must also check their skin before carrying out work to identify any cuts, abrasions or wounds — these must be properly covered with waterproof dressings and appropriate PPE.

Alternatively, workers with open cuts and sores should be deployed to other tasks, including workers who have pre-existing conditions such as diabetes, kidney and lung disease, which increase their risk of contracting melioidosis. Workers must also receive the appropriate information, training and/or instruction about the potential risks and symptoms of melioidosis, the use of PPE, hand-washing practices and safe work procedures.

Workers who experience any of the symptoms of melioidosis are advised to contact their employer and seek medical help as soon as possible.

Image credit: iStock.com/bymuratdeniz","Workplaces across the Northern Territory have been urged to ensure that their workers are protected from melioidosis.
Initial investigations found that the worker was completing gardening work days before being diagnosed.
However, due to the delay in symptoms, the exact location where the worker may have contracted melioidosis cannot be determined.
NT WorkSafe has urged all workplaces with workers working outdoors, especially during the wet season, to implement a range of measures to protect their workers.
Workers who experience any of the symptoms of melioidosis are advised to contact their employer and seek medical help as soon as possible.",,https://www.nscafoundation.org.au/news
